iter	Passed	Remaining
0	137	13589
1	138	6805
2	140	4534
3	141	3391
4	142	2710
5	144	2258
6	145	1936
7	147	1693
8	148	1505
9	150	1354
10	151	1228
11	153	1124
12	154	1035
13	156	959
14	157	893
15	158	834
16	160	782
17	161	736
18	163	694
19	164	657
20	165	623
21	167	592
22	168	564
23	170	538
24	171	514
25	172	492
26	174	471
27	175	451
28	176	432
29	178	415
30	179	399
31	180	384
32	182	370
33	183	356
34	185	343
35	186	331
36	187	319
37	189	308
38	190	298
39	191	287
40	193	278
41	194	267
42	195	258
43	196	250
44	197	241
45	199	233
46	200	226
47	201	218
48	203	211
49	204	204
50	205	197
51	207	191
52	208	184
53	209	178
54	210	172
55	211	166
56	213	160
57	214	155
58	215	150
59	217	144
60	218	139
61	220	134
62	221	130
63	222	125
64	224	120
65	225	116
66	226	111
67	228	107
68	229	103
69	231	99
70	232	94
71	233	90
72	235	86
73	236	83
74	237	79
75	239	75
76	240	71
77	242	68
78	243	64
79	244	61
80	246	57
81	247	54
82	249	51
83	250	47
84	251	44
85	253	41
86	254	37
87	255	34
88	257	31
89	258	28
90	259	25
91	261	22
92	262	19
93	263	16
94	265	13
95	266	11
96	267	8
97	268	5
98	270	2
99	271	0
